text,url
সাইফুল আলম ,https://www.jugantor.com/people/%E0%A6%B8%E0%A6%BE%E0%A6%87%E0%A6%AB%E0%A7%81%E0%A6%B2-%E0%A6%86%E0%A6%B2%E0%A6%AE
 ,https://www.jugantor.com/people/%E0%A6%B8%E0%A6%BE%E0%A6%87%E0%A6%AB%E0%A7%81%E0%A6%B2-%E0%A6%86%E0%A6%B2%E0%A6%AE
ভারত ,https://www.jugantor.com/location/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4
ভারত ,https://www.jugantor.com/location/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4?page=8
ভারত ,https://www.jugantor.com/location/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4?page=210
ভারত ,https://www.jugantor.com/location/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4?page=209
আসিফ নজরুল ,https://www.jugantor.com/people/%E0%A6%86%E0%A6%B8%E0%A6%BF%E0%A6%AB-%E0%A6%A8%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B2
ভারত ,https://www.jugantor.com/location/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4?page=208
আসিফ নজরুল ,https://www.jugantor.com/people/%E0%A6%86%E0%A6%B8%E0%A6%BF%E0%A6%AB-%E0%A6%A8%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B2?page=2
আসিফ নজরুল ,https://www.jugantor.com/people/%E0%A6%86%E0%A6%B8%E0%A6%BF%E0%A6%AB-%E0%A6%A8%E0%A6%9C%E0%A6%B0%E0%A7%81%E0%A6%B2?page=1
রাজবাড়ী ,https://www.jugantor.com/location/%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%AC%E0%A6%BE%E0%A7%9C%E0%A7%80
কোম্পানীগঞ্জ ,https://www.jugantor.com/location/%E0%A6%95%E0%A7%8B%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A7%80%E0%A6%97%E0%A6%9E%E0%A7%8D%E0%A6%9C
কোম্পানীগঞ্জ ,https://www.jugantor.com/location/%E0%A6%95%E0%A7%8B%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A7%80%E0%A6%97%E0%A6%9E%E0%A7%8D%E0%A6%9C?page=8
কোম্পানীগঞ্জ ,https://www.jugantor.com/location/%E0%A6%95%E0%A7%8B%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A7%80%E0%A6%97%E0%A6%9E%E0%A7%8D%E0%A6%9C?page=7
কোম্পানীগঞ্জ ,https://www.jugantor.com/location/%E0%A6%95%E0%A7%8B%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A7%80%E0%A6%97%E0%A6%9E%E0%A7%8D%E0%A6%9C?page=22
মমতা বন্দ্যোপাধ্যায় ,https://www.jugantor.com/people/%E0%A6%AE%E0%A6%AE%E0%A6%A4%E0%A6%BE-%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%8B%E0%A6%AA%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A7%9F
কোম্পানীগঞ্জ ,https://www.jugantor.com/location/%E0%A6%95%E0%A7%8B%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A7%80%E0%A6%97%E0%A6%9E%E0%A7%8D%E0%A6%9C?page=21
কোম্পানীগঞ্জ ,https://www.jugantor.com/location/%E0%A6%95%E0%A7%8B%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A7%80%E0%A6%97%E0%A6%9E%E0%A7%8D%E0%A6%9C?page=20
মমতা বন্দ্যোপাধ্যায় ,https://www.jugantor.com/people/%E0%A6%AE%E0%A6%AE%E0%A6%A4%E0%A6%BE-%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%8B%E0%A6%AA%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A7%9F?page=2
ইসলামী আন্দোলন বাংলাদেশ ,https://www.jugantor.com/organization/%E0%A6%87%E0%A6%B8%E0%A6%B2%E0%A6%BE%E0%A6%AE%E0%A7%80-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8B%E0%A6%B2%E0%A6%A8-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6
মমতা বন্দ্যোপাধ্যায় ,https://www.jugantor.com/people/%E0%A6%AE%E0%A6%AE%E0%A6%A4%E0%A6%BE-%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%8B%E0%A6%AA%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A7%9F?page=1
চরমোনাই পীর ,https://www.jugantor.com/people/%E0%A6%9A%E0%A6%B0%E0%A6%AE%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%87-%E0%A6%AA%E0%A7%80%E0%A6%B0
ইসলামী আন্দোলন বাংলাদেশ ,https://www.jugantor.com/organization/%E0%A6%87%E0%A6%B8%E0%A6%B2%E0%A6%BE%E0%A6%AE%E0%A7%80-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8B%E0%A6%B2%E0%A6%A8-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6?page=2
চরমোনাই পীর ,https://www.jugantor.com/people/%E0%A6%9A%E0%A6%B0%E0%A6%AE%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%87-%E0%A6%AA%E0%A7%80%E0%A6%B0?page=2
ইসলামী আন্দোলন বাংলাদেশ ,https://www.jugantor.com/organization/%E0%A6%87%E0%A6%B8%E0%A6%B2%E0%A6%BE%E0%A6%AE%E0%A7%80-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8B%E0%A6%B2%E0%A6%A8-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6?page=1
চরমোনাই পীর ,https://www.jugantor.com/people/%E0%A6%9A%E0%A6%B0%E0%A6%AE%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%87-%E0%A6%AA%E0%A7%80%E0%A6%B0?page=1
উইঘুর ,https://www.jugantor.com/location/%E0%A6%89%E0%A6%87%E0%A6%98%E0%A7%81%E0%A6%B0
