player_name,season,wk,Game_date,OPP,Result,AST,PDEF
Mark Andrews,Regular Season,17,01/03/2021,Bengals,W 38 - 3,6.8,
Mark Andrews,Regular Season,16,12/27/2020,Giants,W 27 - 13,12.7,
Mark Andrews,Regular Season,15,12/20/2020,Jaguars,W 40 - 14,13.2,
Mark Andrews,Regular Season,14,12/15/2020,Browns,W 47 - 42,15.6,
Mark Andrews,Regular Season,11,11/22/2020,Titans,L 24 - 30,19.2,
Mark Andrews,Regular Season,10,11/16/2020,Patriots,L 17 - 23,8.7,
Mark Andrews,Regular Season,9,11/08/2020,Colts,W 24 - 10,7.3,
Mark Andrews,Regular Season,8,11/01/2020,Steelers,L 24 - 28,10.7,
Mark Andrews,Regular Season,3,09/29/2020,Chiefs,L 20 - 34,7.3,
Mark Andrews,Regular Season,2,09/20/2020,Texans,W 33 - 16,29,
Mark Andrews,Regular Season,6,10/18/2020,Eagles,W 30 - 28,10.5,
Mark Andrews,Regular Season,5,10/11/2020,Bengals,W 27 - 3,9.3,
Mark Andrews,Regular Season,4,10/04/2020,Football Team,W 31 - 17,19,
Mark Andrews,Regular Season,1,09/13/2020,Browns,W 38 - 6,11.6,
Mark Andrews,Post Season,2,01/17/2021,Bills,L 3 - 17,7,
Mark Andrews,Post Season,1,01/10/2021,Titans,W 20 - 13,10.3,
David Andrews,Regular Season,17,01/03/2021,Jets,W 28 - 14,,
David Andrews,Regular Season,16,12/29/2020,Bills,L 9 - 38,,
David Andrews,Regular Season,15,12/20/2020,Dolphins,L 12 - 22,,
David Andrews,Regular Season,14,12/11/2020,Rams,L 3 - 24,,
David Andrews,Regular Season,13,12/06/2020,Chargers,W 45 - 0,,
David Andrews,Regular Season,12,11/29/2020,Cardinals,W 20 - 17,,
David Andrews,Regular Season,11,11/22/2020,Texans,L 20 - 27,,
David Andrews,Regular Season,10,11/16/2020,Ravens,W 23 - 17,,
David Andrews,Regular Season,9,11/10/2020,Jets,W 30 - 27,,
David Andrews,Regular Season,8,11/01/2020,Bills,L 21 - 24,,
David Andrews,Regular Season,7,10/25/2020,49ers,L 6 - 33,,
David Andrews,Regular Season,1,09/13/2020,Dolphins,W 21 - 11,,
David Andrews,Regular Season,2,09/21/2020,Seahawks,L 30 - 35,,
Bryan Anger,Regular Season,17,01/03/2021,Titans,L 38 - 41,42,42
Bryan Anger,Regular Season,16,12/27/2020,Bengals,L 31 - 37,153,38.3
Bryan Anger,Regular Season,15,12/20/2020,Colts,L 20 - 27,82,41
Bryan Anger,Regular Season,14,12/13/2020,Bears,L 7 - 36,168,42
Bryan Anger,Regular Season,13,12/06/2020,Colts,L 20 - 26,123,41
Bryan Anger,Regular Season,12,11/26/2020,Lions,W 41 - 25,117,39
Bryan Anger,Regular Season,11,11/22/2020,Patriots,W 27 - 20,158,39.5
Bryan Anger,Regular Season,10,11/15/2020,Browns,L 7 - 10,137,45.7
Bryan Anger,Regular Season,9,11/08/2020,Jaguars,W 27 - 25,200,40
Bryan Anger,Regular Season,7,10/25/2020,Packers,L 20 - 35,179,44.8
Bryan Anger,Regular Season,2,09/20/2020,Ravens,L 16 - 33,132,44
Bryan Anger,Regular Season,6,10/18/2020,Titans,L 36 - 42,169,42.3
Bryan Anger,Regular Season,1,09/11/2020,Chiefs,L 20 - 34,123,41
Bryan Anger,Regular Season,5,10/11/2020,Jaguars,W 30 - 14,33,33
Bryan Anger,Regular Season,4,10/04/2020,Vikings,L 23 - 31,175,43.8
Bryan Anger,Regular Season,3,09/27/2020,Steelers,L 21 - 28,266,44.3
Troy Apke,Regular Season,17,01/04/2021,Eagles,W 20 - 14,,
Troy Apke,Regular Season,16,12/27/2020,Panthers,L 13 - 20,1,0
Troy Apke,Regular Season,15,12/20/2020,Seahawks,L 15 - 20,2,0
Troy Apke,Regular Season,14,12/13/2020,49ers,W 23 - 15,,
Troy Apke,Regular Season,13,12/07/2020,Steelers,W 23 - 17,,
Troy Apke,Regular Season,12,11/26/2020,Cowboys,W 41 - 16,0,0
Troy Apke,Regular Season,11,11/22/2020,Bengals,W 20 - 9,1,0
Troy Apke,Regular Season,10,11/15/2020,Lions,L 27 - 30,0,0
Troy Apke,Regular Season,9,11/08/2020,Giants,L 20 - 23,,
Troy Apke,Regular Season,3,09/27/2020,Browns,L 20 - 34,0,1
Troy Apke,Regular Season,7,10/25/2020,Cowboys,W 25 - 3,0,0
Troy Apke,Regular Season,2,09/20/2020,Cardinals,L 15 - 30,1,0
Troy Apke,Regular Season,6,10/18/2020,Giants,L 19 - 20,,
Troy Apke,Regular Season,1,09/13/2020,Eagles,W 27 - 17,3,0
Troy Apke,Regular Season,5,10/11/2020,Rams,L 10 - 30,1,0
Troy Apke,Regular Season,4,10/04/2020,Ravens,L 17 - 31,1,1
Troy Apke,Post Season,1,01/10/2021,Buccaneers,L 23 - 31,,
Chidobe Awuzie,Regular Season,17,01/03/2021,Giants,L 19 - 23,2,0
Chidobe Awuzie,Regular Season,16,12/27/2020,Eagles,W 37 - 17,0,0
Chidobe Awuzie,Regular Season,15,12/20/2020,49ers,W 41 - 33,2,2
Chidobe Awuzie,Regular Season,13,12/09/2020,Ravens,L 17 - 34,1,0
Chidobe Awuzie,Regular Season,12,11/26/2020,Football Team,L 16 - 41,0,1
Chidobe Awuzie,Regular Season,11,11/22/2020,Vikings,W 31 - 28,4,0
Chidobe Awuzie,Regular Season,2,09/20/2020,Falcons,W 40 - 39,0,1
Chidobe Awuzie,Regular Season,1,09/14/2020,Rams,L 17 - 20,0,1
Ezekiel Ansah,Regular Season,3,09/27/2020,Giants,W 36 - 9,,
Ezekiel Ansah,Regular Season,4,10/05/2020,Eagles,L 20 - 25,,
Josh Andrews,Regular Season,16,12/27/2020,Browns,W 23 - 16,,
Josh Andrews,Regular Season,15,12/20/2020,Rams,W 23 - 20,,
Josh Andrews,Regular Season,14,12/13/2020,Seahawks,L 3 - 40,,
Josh Andrews,Regular Season,13,12/06/2020,Raiders,L 28 - 31,,
Josh Andrews,Regular Season,12,11/29/2020,Dolphins,L 3 - 20,,
Josh Andrews,Regular Season,11,11/22/2020,Chargers,L 28 - 34,,
Josh Andrews,Regular Season,9,11/10/2020,Patriots,L 27 - 30,,
Josh Andrews,Regular Season,8,11/01/2020,Chiefs,L 9 - 35,,
Josh Andrews,Regular Season,3,09/27/2020,Colts,L 7 - 36,,
Josh Andrews,Regular Season,7,10/25/2020,Bills,L 10 - 18,,
Robby Anderson,Regular Season,17,01/03/2021,Saints,L 7 - 33,13.3,
Josh Andrews,Regular Season,2,09/20/2020,49ers,L 13 - 31,,
Josh Andrews,Regular Season,6,10/18/2020,Dolphins,L 0 - 24,,
Josh Andrews,Regular Season,1,09/13/2020,Bills,L 17 - 27,,
Josh Andrews,Regular Season,5,10/11/2020,Cardinals,L 10 - 30,,
Josh Andrews,Regular Season,4,10/02/2020,Broncos,L 28 - 37,,
Robby Anderson,Regular Season,16,12/27/2020,Football Team,W 20 - 13,5.6,
Robby Anderson,Regular Season,15,12/20/2020,Packers,L 16 - 24,10.5,1
Robby Anderson,Regular Season,14,12/13/2020,Broncos,L 27 - 32,10.5,2
Robby Anderson,Regular Season,12,11/29/2020,Vikings,L 27 - 28,23.5,
Robby Anderson,Regular Season,11,11/22/2020,Lions,W 20 - 0,6.6,
Robby Anderson,Regular Season,10,11/15/2020,Buccaneers,L 23 - 46,5.3,
Robby Anderson,Regular Season,9,11/08/2020,Chiefs,L 31 - 33,7,
Robby Anderson,Regular Season,8,10/30/2020,Falcons,L 17 - 25,9.6,
Brandon Aiyuk,Regular Season,17,01/03/2021,Seahawks,L 23 - 26,,
Robby Anderson,Regular Season,3,09/27/2020,Chargers,W 21 - 16,11,
Robby Anderson,Regular Season,7,10/25/2020,Saints,L 24 - 27,12.3,
Robby Anderson,Regular Season,2,09/20/2020,Buccaneers,L 17 - 31,12.1,
Robby Anderson,Regular Season,6,10/18/2020,Bears,L 16 - 23,19.3,
Robby Anderson,Regular Season,5,10/11/2020,Falcons,W 23 - 16,14,1
Robby Anderson,Regular Season,4,10/04/2020,Cardinals,W 31 - 21,12.4,
Robby Anderson,Regular Season,1,09/13/2020,Raiders,L 30 - 34,19,
Brandon Aiyuk,Regular Season,16,12/26/2020,Cardinals,W 20 - 12,15,1
Brandon Aiyuk,Regular Season,15,12/20/2020,Cowboys,L 33 - 41,8.1,
Brandon Aiyuk,Regular Season,14,12/13/2020,Football Team,L 15 - 23,11.9,
Brandon Aiyuk,Regular Season,13,12/08/2020,Bills,L 24 - 34,19,
Brandon Aiyuk,Regular Season,10,11/15/2020,Saints,L 13 - 27,10.7,1
Brandon Aiyuk,Regular Season,8,11/01/2020,Seahawks,L 27 - 37,11.4,
Brandon Aiyuk,Regular Season,3,09/27/2020,Giants,W 36 - 9,14,3
Brandon Aiyuk,Regular Season,7,10/25/2020,Patriots,W 33 - 6,19.2,
Brandon Aiyuk,Regular Season,2,09/20/2020,Jets,W 31 - 13,10.5,
Brandon Aiyuk,Regular Season,6,10/19/2020,Rams,W 24 - 16,6,
Brandon Aiyuk,Regular Season,1,09/13/2020,Cardinals,L 20 - 24,,
Brandon Aiyuk,Regular Season,5,10/11/2020,Dolphins,L 17 - 43,14.7,
Brandon Aiyuk,Regular Season,4,10/05/2020,Eagles,L 20 - 25,9,1
Eli Ankou,Regular Season,17,01/03/2021,Giants,L 19 - 23,1,0
Eli Ankou,Regular Season,16,12/27/2020,Eagles,W 37 - 17,,
Eli Ankou,Regular Season,15,12/20/2020,49ers,W 41 - 33,2,0
Eli Ankou,Regular Season,14,12/13/2020,Bengals,W 30 - 7,,
Eli Ankou,Regular Season,13,12/09/2020,Ravens,L 17 - 34,,
Eli Ankou,Regular Season,12,11/26/2020,Football Team,L 16 - 41,1,0
Eli Ankou,Regular Season,11,11/22/2020,Vikings,W 31 - 28,,
Eli Ankou,Regular Season,9,11/08/2020,Steelers,L 19 - 24,,
Eli Ankou,Regular Season,3,09/27/2020,Colts,L 7 - 36,,
Eli Ankou,Regular Season,5,10/11/2020,Browns,L 23 - 32,,
Eli Ankou,Regular Season,4,10/04/2020,Bears,W 19 - 11,,
Eli Ankou,Regular Season,2,09/20/2020,Colts,L 11 - 28,,
Eli Ankou,Regular Season,1,09/13/2020,Jaguars,L 20 - 27,,
Stephen Anderson,Regular Season,17,01/03/2021,Chiefs,W 38 - 21,17.3,
Stephen Anderson,Regular Season,16,12/27/2020,Broncos,W 19 - 16,12,
Stephen Anderson,Regular Season,15,12/18/2020,Raiders,W 30 - 27,,
Stephen Anderson,Regular Season,14,12/13/2020,Falcons,W 20 - 17,,
Stephen Anderson,Regular Season,13,12/06/2020,Patriots,L 0 - 45,6,
Stephen Anderson,Regular Season,12,11/29/2020,Bills,L 17 - 27,,
Stephen Anderson,Regular Season,11,11/22/2020,Jets,W 34 - 28,,
Stephen Anderson,Regular Season,10,11/15/2020,Dolphins,L 21 - 29,,
Stephen Anderson,Regular Season,9,11/08/2020,Raiders,L 26 - 31,,
Stephen Anderson,Regular Season,8,11/01/2020,Broncos,L 30 - 31,,
Stephen Anderson,Regular Season,3,09/27/2020,Panthers,L 16 - 21,,
Stephen Anderson,Regular Season,7,10/25/2020,Jaguars,W 39 - 29,,
Stephen Anderson,Regular Season,2,09/20/2020,Chiefs,L 20 - 23,,
Stephen Anderson,Regular Season,1,09/13/2020,Bengals,W 16 - 13,,
Stephen Anderson,Regular Season,5,10/13/2020,Saints,L 27 - 30,,
Stephen Anderson,Regular Season,4,10/04/2020,Buccaneers,L 31 - 38,,
Cam Akers,Regular Season,17,01/03/2021,Cardinals,W 18 - 7,1.6,4
Freedom Akinmoladun,Regular Season,2,09/18/2020,Browns,L 30 - 35,1,0
Cam Akers,Regular Season,16,12/27/2020,Seahawks,L 9 - 20,,
Cam Akers,Regular Season,15,12/20/2020,Jets,L 20 - 23,4.2,1
Cam Akers,Regular Season,14,12/11/2020,Patriots,W 24 - 3,5.9,2
Cam Akers,Regular Season,13,12/06/2020,Cardinals,W 38 - 28,3.4,1
Cam Akers,Regular Season,12,11/29/2020,49ers,L 20 - 23,9.3,
Cam Akers,Regular Season,11,11/24/2020,Buccaneers,W 27 - 24,3,1
Cam Akers,Regular Season,10,11/15/2020,Seahawks,W 23 - 16,3.8,
Cam Akers,Regular Season,8,11/01/2020,Dolphins,L 17 - 28,3.9,1
Cam Akers,Regular Season,3,09/27/2020,Bills,L 32 - 35,,
Cam Akers,Regular Season,7,10/27/2020,Bears,W 24 - 10,,
Freedom Akinmoladun,Regular Season,4,10/04/2020,Jaguars,W 33 - 25,,
Cam Akers,Regular Season,6,10/19/2020,49ers,L 16 - 24,,
Cam Akers,Regular Season,1,09/14/2020,Cowboys,W 20 - 17,2.8,1
Cam Akers,Regular Season,5,10/11/2020,Football Team,W 30 - 10,6.8,
Cam Akers,Regular Season,4,10/04/2020,Giants,W 17 - 9,,
Cam Akers,Regular Season,2,09/20/2020,Eagles,W 37 - 19,4.3,
Cam Akers,Post Season,2,01/16/2021,Packers,L 18 - 32,5,1
Cam Akers,Post Season,1,01/09/2021,Seahawks,W 30 - 20,4.7,2
Eli Apple,Regular Season,7,10/25/2020,Saints,L 24 - 27,1,0
Eli Apple,Regular Season,6,10/18/2020,Bears,L 16 - 23,,
Eli Apple,Regular Season,5,10/11/2020,Falcons,W 23 - 16,,
Eli Apple,Regular Season,4,10/04/2020,Cardinals,W 31 - 21,,
J.J. Arcega-Whiteside,Regular Season,17,01/04/2021,Football Team,L 14 - 20,20,
J.J. Arcega-Whiteside,Regular Season,16,12/27/2020,Cowboys,L 17 - 37,,
J.J. Arcega-Whiteside,Regular Season,15,12/20/2020,Cardinals,L 26 - 33,,
J.J. Arcega-Whiteside,Regular Season,14,12/13/2020,Saints,W 24 - 21,,
J.J. Arcega-Whiteside,Regular Season,13,12/06/2020,Packers,L 16 - 30,,
J.J. Arcega-Whiteside,Regular Season,10,11/15/2020,Giants,L 17 - 27,,
J.J. Arcega-Whiteside,Regular Season,8,11/02/2020,Cowboys,W 23 - 9,,
J.J. Arcega-Whiteside,Regular Season,7,10/23/2020,Giants,W 22 - 21,8,
J.J. Arcega-Whiteside,Regular Season,6,10/18/2020,Ravens,L 28 - 30,,
J.J. Arcega-Whiteside,Regular Season,1,09/13/2020,Football Team,L 17 - 27,,
J.J. Arcega-Whiteside,Regular Season,5,10/11/2020,Steelers,L 29 - 38,37,
J.J. Arcega-Whiteside,Regular Season,4,10/05/2020,49ers,W 25 - 20,,
J.J. Arcega-Whiteside,Regular Season,3,09/27/2020,Bengals,T 23 - 23,,
J.J. Arcega-Whiteside,Regular Season,2,09/20/2020,Rams,L 19 - 37,,
Alex Anzalone,Regular Season,17,01/03/2021,Panthers,W 33 - 7,0,0
Alex Anzalone,Regular Season,16,12/25/2020,Vikings,W 52 - 33,0,0
Alex Anzalone,Regular Season,15,12/20/2020,Chiefs,L 29 - 32,1,0
Alex Anzalone,Regular Season,14,12/13/2020,Eagles,L 21 - 24,0,0
Alex Anzalone,Regular Season,13,12/06/2020,Falcons,W 21 - 16,1,0
Alex Anzalone,Regular Season,12,11/29/2020,Broncos,W 31 - 3,0,0
Alex Anzalone,Regular Season,11,11/22/2020,Falcons,W 24 - 9,,
Alex Anzalone,Regular Season,10,11/15/2020,49ers,W 27 - 13,,
Alex Anzalone,Regular Season,9,11/09/2020,Buccaneers,W 38 - 3,2,0
Alex Anzalone,Regular Season,8,11/01/2020,Bears,W 26 - 23,2,0
Alex Anzalone,Regular Season,7,10/25/2020,Panthers,W 27 - 24,1,0
Alex Anzalone,Regular Season,2,09/22/2020,Raiders,L 24 - 34,5,0
Alex Anzalone,Regular Season,1,09/13/2020,Buccaneers,W 34 - 23,3,0
Alex Anzalone,Regular Season,5,10/13/2020,Chargers,W 30 - 27,4,0
Alex Anzalone,Regular Season,4,10/04/2020,Lions,W 35 - 29,0,0
Alex Anzalone,Regular Season,3,09/28/2020,Packers,L 30 - 37,0,0
Alex Anzalone,Post Season,2,01/17/2021,Buccaneers,L 20 - 30,3,0
Alex Anzalone,Post Season,1,01/10/2021,Bears,W 21 - 9,1,0
Otaro Alaka,Regular Season,3,09/29/2020,Chiefs,L 20 - 34,,
Otaro Alaka,Regular Season,2,09/20/2020,Texans,W 33 - 16,,
Otaro Alaka,Regular Season,5,10/11/2020,Bengals,W 27 - 3,1,0
Otaro Alaka,Regular Season,4,10/04/2020,Football Team,W 31 - 17,,
Otaro Alaka,Regular Season,1,09/13/2020,Browns,W 38 - 6,,
Jordan Akins,Regular Season,17,01/03/2021,Titans,L 38 - 41,9,
Jordan Akins,Regular Season,16,12/27/2020,Bengals,L 31 - 37,9.8,
Jordan Akins,Regular Season,15,12/20/2020,Colts,L 20 - 27,10,
Jordan Akins,Regular Season,14,12/13/2020,Bears,L 7 - 36,6.7,
Jordan Akins,Regular Season,13,12/06/2020,Colts,L 20 - 26,5,
Jordan Akins,Regular Season,12,11/26/2020,Lions,W 41 - 25,,1
Jordan Akins,Regular Season,11,11/22/2020,Patriots,W 27 - 20,16.6,
Jordan Akins,Regular Season,10,11/15/2020,Browns,L 7 - 10,5,
Jordan Akins,Regular Season,9,11/08/2020,Jaguars,W 27 - 25,9.5,
Jordan Akins,Regular Season,7,10/25/2020,Packers,L 20 - 35,,
Jordan Akins,Regular Season,2,09/20/2020,Ravens,L 16 - 33,7.9,
Jordan Akins,Regular Season,6,10/18/2020,Titans,L 36 - 42,,
Jordan Akins,Regular Season,1,09/11/2020,Chiefs,L 20 - 34,19.5,
Jordan Akins,Regular Season,5,10/11/2020,Jaguars,W 30 - 14,,
Jordan Akins,Regular Season,4,10/04/2020,Vikings,L 23 - 31,15.3,
Jordan Akins,Regular Season,3,09/27/2020,Steelers,L 21 - 28,14,
Jaire Alexander,Regular Season,17,01/03/2021,Bears,W 35 - 16,1,1
Jaire Alexander,Regular Season,16,12/28/2020,Titans,W 40 - 14,1,3
Jaire Alexander,Regular Season,15,12/20/2020,Panthers,W 24 - 16,0,1
Jaire Alexander,Regular Season,14,12/13/2020,Lions,W 31 - 24,1,1
Jaire Alexander,Regular Season,13,12/06/2020,Eagles,W 30 - 16,0,2
Jaire Alexander,Regular Season,12,11/30/2020,Bears,W 41 - 25,1,0
Jaire Alexander,Regular Season,11,11/22/2020,Colts,L 31 - 34,3,2
Jaire Alexander,Regular Season,10,11/15/2020,Jaguars,W 24 - 20,,
Jaire Alexander,Regular Season,9,11/06/2020,49ers,W 34 - 17,0,0
Jaire Alexander,Regular Season,8,11/01/2020,Vikings,L 22 - 28,0,0
Jaire Alexander,Regular Season,7,10/25/2020,Texans,W 35 - 20,0,1
Jaire Alexander,Regular Season,2,09/20/2020,Lions,W 42 - 21,2,0
Jaire Alexander,Regular Season,6,10/18/2020,Buccaneers,L 10 - 38,0,0
Jaire Alexander,Regular Season,4,10/06/2020,Falcons,W 30 - 16,2,0
Jaire Alexander,Regular Season,3,09/28/2020,Saints,W 37 - 30,0,1
Jaire Alexander,Regular Season,1,09/13/2020,Vikings,W 43 - 34,1,1
Jaire Alexander,Post Season,2,01/16/2021,Rams,W 32 - 18,0,0
Mackensie Alexander,Regular Season,17,01/03/2021,Ravens,L 3 - 38,,
Mackensie Alexander,Regular Season,16,12/27/2020,Texans,W 37 - 31,1,0
Mackensie Alexander,Regular Season,15,12/22/2020,Steelers,W 27 - 17,0,2
Mackensie Alexander,Regular Season,14,12/13/2020,Cowboys,L 7 - 30,0,0
Mackensie Alexander,Regular Season,13,12/06/2020,Dolphins,L 7 - 19,5,0
Mackensie Alexander,Regular Season,12,11/29/2020,Giants,L 17 - 19,0,3
Mackensie Alexander,Regular Season,11,11/22/2020,Football Team,L 9 - 20,3,0
Mackensie Alexander,Regular Season,10,11/15/2020,Steelers,L 10 - 36,2,0
Mackensie Alexander,Regular Season,8,11/01/2020,Titans,W 31 - 20,0,0
Mackensie Alexander,Regular Season,7,10/25/2020,Browns,L 34 - 37,1,1
Mackensie Alexander,Regular Season,2,09/18/2020,Browns,L 30 - 35,2,0
Mackensie Alexander,Regular Season,6,10/18/2020,Colts,L 27 - 31,0,0
